moniker_clean,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,WEIGHTED_VOTE,YES,votingPower,validatorAddress,pca_x,pca_y,cluster
Crypto Lion,0.05,0.025,0.45,0.125,0,0.35,0.002754,"['crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495', 'crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495']",3.626243214,0.847558977,1
nebkasro,0,0.060606061,0.666666667,0,0,0.272727273,0.002186,"['crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh', 'crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh']",1.527784611,-0.953328023,1
IcyCRO,0.03125,0.125,0.625,0,0,0.21875,0.001895,"['crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq', 'crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq']",2.790179236,-0.044671624,1
SwissCro,0,0,0.821428571,0,0,0.178571429,0.002516,"['crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6', 'crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6']",-0.254918337,-0.417039366,0
OKX Earn,0,0,1,0,0,0,0.001623,"['crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs', 'crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs']",-1.434095004,0.006406911,0
Onward,0,0.033333333,0.733333333,0.033333333,0,0.2,0.001747,"['crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3', 'crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3']",0.96611031,-0.634934612,1
Icy Road,0,0.03125,0.59375,0,0,0.375,0.001734,"['crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507', 'crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507']",1.640793547,-1.044229653,1
Crosnest,0.025641026,0.102564103,0.487179487,0.128205128,0,0.256410256,0.001642,"['crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8', 'crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8']",4.236090959,-0.198381893,1
Makingcash,0,0,0.92,0,0,0.08,0.001597,"['crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0', 'crocncl1vk5zc056nfngucy69eyveupytkhkr2ya3yj9r0']",-0.905823857,-0.183297021,0
Forbole,0,0.032258065,0.677419355,0.096774194,0,0.193548387,0.001362,"['crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa', 'crocncl15xphw2m025acwnjd2ucq9t5ku4ggaqyecekzqa']",1.742236705,-0.60441847,1
SG X Staking,0,0.057142857,0.571428571,0,0,0.371428571,0.001311,"['crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6', 'crocncl14vxzdsxtmat7hvz58trk823adg3pjh4xh6ghm6']",2.113207414,-1.169491644,1
