moniker,ABSTAIN,NO,NO_VOTE,NO_WITH_VETO,YES,votingPower,pca_x,pca_y,cluster
PRYZM StakeDrop,0,0.066666667,0.8,0,0.133333333,0.007172,0.115410052,0.050267576,0
Ping,0,0.033333333,0.566666667,0,0.4,0.00044,0.573103608,0.046553386,0
Provalidator,0.1,0.066666667,0.233333333,0,0.6,0.009768,2.205642308,-0.150929762,1
Quasar,0.1,0.033333333,0.033333333,0,0.833333333,0.001889,2.554240872,-0.158130606,1
Quokka Stake,0.1,0.066666667,0,0,0.833333333,0.000636,2.969307254,-0.126523189,1
Republic,0,0,1,0,0,0.000638,-1.15110268,-0.02689387,0
S16 Research Ventures,0,0.133333333,0,0,0.866666667,0.001696,3.345632645,0.19018878,1
SG1,0.2,0.066666667,0.166666667,0,0.566666667,0.024369,2.659449681,-0.404426898,1
ShapeShift DAO,0.1,0.066666667,0.433333333,0,0.4,0.002811,1.551072355,-0.171849681,1
Sikka,0,0,1,0,0,0.011513,-1.15110268,-0.02689387,0
Silk Nodes,0.033333333,0.1,0,0,0.866666667,0.001205,3.118200385,0.075244536,1
Simply Staking,0,0.033333333,0.566666667,0,0.4,0.002665,0.573103608,0.046553386,0
Skip,0,0.133333333,0.133333333,0,0.733333333,0.000179,2.909252676,0.176242167,1
Smart Stake,0.3,0.033333333,0,0,0.666666667,0.002282,3.134570641,-0.675584838,1
SmartNodes,0,0,0.866666667,0,0.133333333,0.000342,-0.714722711,-0.012947257,0
SolidarityNode,0.066666667,0.166666667,0.233333333,0,0.533333333,0.000364,3.045017347,0.020256009,1
Stake Shark,0,0,1,0,0,0.002761,-1.15110268,-0.02689387,0
StakeLabzone,0.033333333,0.066666667,0.633333333,0,0.266666667,0.005015,0.739424143,-0.019122639,0
StakeRelax,0,0.233333333,0,0,0.766666667,0.000793,4.263546813,0.27455107,1
Stakecito,0,0.2,0,0,0.8,0.007281,3.957575423,0.246430306,1
Stakeflow,0,0.033333333,0.233333333,0,0.733333333,0.000498,1.664053531,0.081419918,1
Stakelyio,0.2,0.133333333,0.033333333,0,0.633333333,0.004203,3.707772428,-0.334238758,1
Stakewollecom 100 Insurance,0.1,0.1,0,0,0.8,0.001091,3.275278643,-0.098402426,1
Stakin,0.233333333,0.033333333,0,0,0.733333333,0.001875,2.977492382,-0.501937876,1
Staking Fund,0,0,0.733333333,0,0.266666667,0.00007,-0.278342742,0.000999356,0
Stargaze,0,0,0.966666667,0,0.033333333,0.000224,-1.042007688,-0.023407216,0
Stir,0,0.033333333,0.433333333,0,0.533333333,0.00141,1.009483577,0.060499998,1
Swiss Staking,0,0.1,0.133333333,0,0.766666667,0.009152,2.603281286,0.148121404,1
Sygnum,0.2,0.1,0.266666667,0,0.433333333,0.000917,2.638136093,-0.386766094,1
TTT VN,0.1,0.033333333,0.066666667,0,0.8,0.000798,2.44514588,-0.161617259,1
TerraBitcoin Club Autocompound through REStake,0.033333333,0.066666667,0.033333333,0,0.866666667,0.000522,2.703134003,0.043637119,1
Tessellated,0.066666667,0.166666667,0,0,0.766666667,0.000583,3.808682293,0.044662581,1
TheCybernetics,0.1,0.1,0.3,0,0.5,0.002821,2.293423713,-0.129782305,1
Trust Nodes,0.666666667,0,0.066666667,0,0.266666667,0.005257,3.47433969,-1.665737197,1
Twinstake,0,0,1,0,0,0.003376,-1.15110268,-0.02689387,0
Ubik Capital,0.166666667,0.1,0.166666667,0,0.566666667,0.003053,2.886881941,-0.289482654,1
Umbrella,0.133333333,0.033333333,0.133333333,0,0.7,0.000186,2.305495025,-0.255414046,1
Upbit Staking,0,0,1,0,0,0.059133,-1.15110268,-0.02689387,0
Vitwit Previously Witval,0.1,0,0.2,0,0.7,0.00122,1.702794522,-0.203684635,1
VoidStake,0,0,0.966666667,0,0.033333333,0.000061,-1.042007688,-0.023407216,0
Vortexlive,0.233333333,0.133333333,0,0,0.633333333,0.000806,3.89540655,-0.417575586,1
WeStaking,0,0.133333333,0.266666667,0,0.6,0.001328,2.472872707,0.162295554,1
WhisperNode,0.1,0,0.366666667,0,0.533333333,0.001116,1.157319561,-0.221117901,1
XPRV,0.066666667,0.066666667,0.166666667,0,0.7,0.000598,2.345293163,-0.057132974,1
Xilodyne,0,0,1,0,0,0.000206,-1.15110268,-0.02689387,0
ZKV,0.1,0,0.566666667,0,0.333333333,0.000587,0.502749607,-0.24203782,0
Ztakeorg,0,0.066666667,0.266666667,0,0.666666667,0.000292,1.860929928,0.106054028,1
a41,0.166666667,0.033333333,0,0,0.8,0.00072,2.820414123,-0.328290914,1
biglazycatcom,0.066666667,0.1,0.066666667,0,0.766666667,0.001276,2.97854953,-0.018552251,1
blockscape,0.333333333,0.1,0.066666667,0,0.5,0.000503,3.606862564,-0.713140098,1
commercionetwork,0,0,1,0,0,0.000095,-1.15110268,-0.02689387,0
cosmos Af,0.133333333,0.033333333,0.166666667,0,0.666666667,0.00043,2.196400033,-0.258900699,1
cosmos hub,0,0,1,0,0,0.000114,-1.15110268,-0.02689387,0
cosmosrescue,0.166666667,0.066666667,0,0,0.766666667,0.00219,3.126385513,-0.300170151,1
dForce,0,0,1,0,0,0.000229,-1.15110268,-0.02689387,0
grantfish,0,0,0.9,0,0.1,0.000366,-0.823817703,-0.01643391,0
interchainFM,0,0,1,0,0,0.000978,-1.15110268,-0.02689387,0
iqlusion,0,0,0.8,0.033333333,0.166666667,0.006295,0.067936993,13.9371622,2
jabbey,0,0.033333333,0.766666667,0,0.2,0.000793,-0.081466345,0.025633466,0
kjnodescom,0,0.033333333,0.433333333,0,0.533333333,0.000484,1.009483577,0.060499998,1
lunamint,0,0,1,0,0,0.000106,-1.15110268,-0.02689387,0
