validatorAddress,q1,q3,median,min,max,avg,totalCount,q1_7,q3_7,median_7,min_7,max_7,avg_7,totalCount_7,q1_30,q3_30,median_30,min_30,max_30,avg_30,totalCount_30,q1_90,q3_90,median_90,min_90,max_90,avg_90,totalCount_90
osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,990,1112,1042,811,4082,1194.2601662985578,292486,897,1058,973,787,4777,1185.539291472035,24191,917,1064,991,792,4708,1168.5724181838914,105236,990,1112,1042,811,4082,1194.2601662985578,292486
osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,983,1094,1033,810,4129,1150.3469141309686,221931,888,1035,962,787,4772,1133.1383015597921,20195,905,1044,981,792,4718,1120.1566739974282,83211,983,1094,1033,810,4129,1150.3469141309686,221931
osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,988,1111,1039,812,4089,1187.3967405461729,184264,897.5,1064,974,788,4811,1185.805795847751,16184,913,1063,988,792,4697,1163.6099723732289,67326,988,1111,1039,812,4089,1187.3967405461729,184264
osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,991,1113,1042,812,4137,1190.864012159657,113819,889,1060,975,786,4876,1191.2492469039385,8963,910,1062,990,792,4738,1163.9550905243357,38277,991,1113,1042,812,4137,1190.864012159657,113819
osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,982,1109,1036,808,4068,1186.032010890038,116804,889,1065,967,788,4719,1190.8913595933927,11018,904,1060,985,791,4659,1159.0483776451438,46075,982,1109,1036,808,4068,1186.032010890038,116804
osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,986,1111,1039,814,4063,1190.504022743753,173762,897,1064,973,791,4744,1192.8056036615537,16168,914,1064,989,796,4686,1171.5337199892097,66726,986,1111,1039,814,4063,1190.504022743753,173762
osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,991,1114,1043,812,4115,1188.0928911499043,134846,894,1061,971,788,4813,1197.27551112312,11103,905,1056,985,792,4725,1160.9473444415516,46092,991,1114,1043,812,4115,1188.0928911499043,134846
osmovaloper1et4d3he94fs5u98kzms7s0fjhpaf5hx7q6fuy5,989,1117,1044,810,4073,1190.2229276419469,66627,893,1062,974.5,785,4701,1184.8509020162717,5654,912,1064,990,793,4693,1169.4019869927781,25063,989,1117,1044,810,4073,1190.2229276419469,66627
osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,992,1110,1041,813,4134,1190.6203337746297,103483,888,1059,969,786,4837,1197.8940139932624,7718,906,1056,986,790,4741,1163.7606323825553,33271,992,1110,1041,813,4134,1190.6203337746297,103483
osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,988,1111,1041,809,4085,1191.876484459646,47071,892,1062,974,789,4769,1195.57328990228,4298,906,1063,989,790,4744,1175.3302380550397,17769,988,1111,1041,809,4085,1191.876484459646,47071
